Name,Url
base32string,https://hackage.haskell.org/package/base32string
base58string,https://hackage.haskell.org/package/base58string
base64-bytestring,https://hackage.haskell.org/package/base64-bytestring
base64-bytestring-type,https://hackage.haskell.org/package/base64-bytestring-type
base64-string,https://hackage.haskell.org/package/base64-string
base-compat,https://hackage.haskell.org/package/base-compat
base-compat-batteries,https://hackage.haskell.org/package/base-compat-batteries
basement,https://hackage.haskell.org/package/basement
base-noprelude,https://hackage.haskell.org/package/base-noprelude
base-orphans,https://hackage.haskell.org/package/base-orphans
base-prelude,https://hackage.haskell.org/package/base-prelude
base-unicode-symbols,https://hackage.haskell.org/package/base-unicode-symbols
basic-prelude,https://hackage.haskell.org/package/basic-prelude
bazel-runfiles,https://hackage.haskell.org/package/bazel-runfiles
bbdb,https://hackage.haskell.org/package/bbdb
bcrypt,https://hackage.haskell.org/package/bcrypt
beam-core,https://hackage.haskell.org/package/beam-core
beam-migrate,https://hackage.haskell.org/package/beam-migrate
beam-mysql,https://hackage.haskell.org/package/beam-mysql
beam-postgres,https://hackage.haskell.org/package/beam-postgres
beam-sqlite,https://hackage.haskell.org/package/beam-sqlite
bench,https://hackage.haskell.org/package/bench
benchpress,https://hackage.haskell.org/package/benchpress
bench-show,https://hackage.haskell.org/package/bench-show
bencode,https://hackage.haskell.org/package/bencode
bencoding,https://hackage.haskell.org/package/bencoding
between,https://hackage.haskell.org/package/between
bibtex,https://hackage.haskell.org/package/bibtex
bifunctors,https://hackage.haskell.org/package/bifunctors
bimap,https://hackage.haskell.org/package/bimap
bimap-server,https://hackage.haskell.org/package/bimap-server
binary,https://hackage.haskell.org/package/binary
binary-bits,https://hackage.haskell.org/package/binary-bits
binary-conduit,https://hackage.haskell.org/package/binary-conduit
binary-ext,https://hackage.haskell.org/package/binary-ext
binary-ieee754,https://hackage.haskell.org/package/binary-ieee754
binary-list,https://hackage.haskell.org/package/binary-list
binary-orphans,https://hackage.haskell.org/package/binary-orphans
binary-parser,https://hackage.haskell.org/package/binary-parser
binary-parsers,https://hackage.haskell.org/package/binary-parsers
binary-search,https://hackage.haskell.org/package/binary-search
binary-shared,https://hackage.haskell.org/package/binary-shared
binary-tagged,https://hackage.haskell.org/package/binary-tagged
bindings-DSL,https://hackage.haskell.org/package/bindings-DSL
bindings-GLFW,https://hackage.haskell.org/package/bindings-GLFW
bindings-libzip,https://hackage.haskell.org/package/bindings-libzip
bindings-uname,https://hackage.haskell.org/package/bindings-uname
bins,https://hackage.haskell.org/package/bins
bitarray,https://hackage.haskell.org/package/bitarray
bitcoin-block,https://hackage.haskell.org/package/bitcoin-block
bitcoin-script,https://hackage.haskell.org/package/bitcoin-script
bitcoin-tx,https://hackage.haskell.org/package/bitcoin-tx
bitcoin-types,https://hackage.haskell.org/package/bitcoin-types
bits,https://hackage.haskell.org/package/bits
bitset-word8,https://hackage.haskell.org/package/bitset-word8
bits-extra,https://hackage.haskell.org/package/bits-extra
bitvec,https://hackage.haskell.org/package/bitvec
bitx-bitcoin,https://hackage.haskell.org/package/bitx-bitcoin
blake2,https://hackage.haskell.org/package/blake2
blas-carray,https://hackage.haskell.org/package/blas-carray
blas-comfort-array,https://hackage.haskell.org/package/blas-comfort-array
blas-ffi,https://hackage.haskell.org/package/blas-ffi
blas-hs,https://hackage.haskell.org/package/blas-hs
blaze-bootstrap,https://hackage.haskell.org/package/blaze-bootstrap
blaze-builder,https://hackage.haskell.org/package/blaze-builder
blaze-colonnade,https://hackage.haskell.org/package/blaze-colonnade
blaze-html,https://hackage.haskell.org/package/blaze-html
blaze-markup,https://hackage.haskell.org/package/blaze-markup
blaze-svg,https://hackage.haskell.org/package/blaze-svg
blaze-textual,https://hackage.haskell.org/package/blaze-textual
bmp,https://hackage.haskell.org/package/bmp
board-games,https://hackage.haskell.org/package/board-games
boltzmann-samplers,https://hackage.haskell.org/package/boltzmann-samplers
Boolean,https://hackage.haskell.org/package/Boolean
boolean-like,https://hackage.haskell.org/package/boolean-like
boolean-normal-forms,https://hackage.haskell.org/package/boolean-normal-forms
boolsimplifier,https://hackage.haskell.org/package/boolsimplifier
boots,https://hackage.haskell.org/package/boots
bordacount,https://hackage.haskell.org/package/bordacount
boring,https://hackage.haskell.org/package/boring
both,https://hackage.haskell.org/package/both
bound,https://hackage.haskell.org/package/bound
BoundedChan,https://hackage.haskell.org/package/BoundedChan
bounded-queue,https://hackage.haskell.org/package/bounded-queue
boundingboxes,https://hackage.haskell.org/package/boundingboxes
bower-json,https://hackage.haskell.org/package/bower-json
boxes,https://hackage.haskell.org/package/boxes
brick,https://hackage.haskell.org/package/brick
brittany,https://hackage.haskell.org/package/brittany
bsb-http-chunked,https://hackage.haskell.org/package/bsb-http-chunked
bson,https://hackage.haskell.org/package/bson
bson-lens,https://hackage.haskell.org/package/bson-lens
btrfs,https://hackage.haskell.org/package/btrfs
buffer-builder,https://hackage.haskell.org/package/buffer-builder
buffer-pipe,https://hackage.haskell.org/package/buffer-pipe
bugsnag-haskell,https://hackage.haskell.org/package/bugsnag-haskell
bulletproofs,https://hackage.haskell.org/package/bulletproofs
butcher,https://hackage.haskell.org/package/butcher
butter,https://hackage.haskell.org/package/butter
bv,https://hackage.haskell.org/package/bv
bv-little,https://hackage.haskell.org/package/bv-little
byteable,https://hackage.haskell.org/package/byteable
bytedump,https://hackage.haskell.org/package/bytedump
byteorder,https://hackage.haskell.org/package/byteorder
bytes,https://hackage.haskell.org/package/bytes
byteset,https://hackage.haskell.org/package/byteset
bytestring,https://hackage.haskell.org/package/bytestring
bytestring-builder,https://hackage.haskell.org/package/bytestring-builder
bytestring-conversion,https://hackage.haskell.org/package/bytestring-conversion
bytestring-lexing,https://hackage.haskell.org/package/bytestring-lexing
bytestring-strict-builder,https://hackage.haskell.org/package/bytestring-strict-builder
bytestring-to-vector,https://hackage.haskell.org/package/bytestring-to-vector
bytestring-tree-builder,https://hackage.haskell.org/package/bytestring-tree-builder
bzlib,https://hackage.haskell.org/package/bzlib
bzlib-conduit,https://hackage.haskell.org/package/bzlib-conduit
c2hs,https://hackage.haskell.org/package/c2hs
Cabal,https://hackage.haskell.org/package/Cabal
cabal2nix,https://hackage.haskell.org/package/cabal2nix
cabal2spec,https://hackage.haskell.org/package/cabal2spec
cabal-doctest,https://hackage.haskell.org/package/cabal-doctest
cabal-file-th,https://hackage.haskell.org/package/cabal-file-th
cabal-install,https://hackage.haskell.org/package/cabal-install
cabal-rpm,https://hackage.haskell.org/package/cabal-rpm
cache,https://hackage.haskell.org/package/cache
cacophony,https://hackage.haskell.org/package/cacophony
calendar-recycling,https://hackage.haskell.org/package/calendar-recycling
call-stack,https://hackage.haskell.org/package/call-stack
ca-province-codes,https://hackage.haskell.org/package/ca-province-codes
carray,https://hackage.haskell.org/package/carray
cased,https://hackage.haskell.org/package/cased
case-insensitive,https://hackage.haskell.org/package/case-insensitive
cases,https://hackage.haskell.org/package/cases
casing,https://hackage.haskell.org/package/casing
cassava,https://hackage.haskell.org/package/cassava
cassava-conduit,https://hackage.haskell.org/package/cassava-conduit
cassava-megaparsec,https://hackage.haskell.org/package/cassava-megaparsec
cassava-records,https://hackage.haskell.org/package/cassava-records
cast,https://hackage.haskell.org/package/cast
caster,https://hackage.haskell.org/package/caster
category,https://hackage.haskell.org/package/category
cayley-client,https://hackage.haskell.org/package/cayley-client
cborg,https://hackage.haskell.org/package/cborg
cborg-json,https://hackage.haskell.org/package/cborg-json
cereal,https://hackage.haskell.org/package/cereal
cereal-conduit,https://hackage.haskell.org/package/cereal-conduit
cereal-text,https://hackage.haskell.org/package/cereal-text
cereal-time,https://hackage.haskell.org/package/cereal-time
cereal-vector,https://hackage.haskell.org/package/cereal-vector
cfenv,https://hackage.haskell.org/package/cfenv
cgi,https://hackage.haskell.org/package/cgi
chan,https://hackage.haskell.org/package/chan
ChannelT,https://hackage.haskell.org/package/ChannelT
charset,https://hackage.haskell.org/package/charset
charsetdetect-ae,https://hackage.haskell.org/package/charsetdetect-ae
Chart,https://hackage.haskell.org/package/Chart
Chart-diagrams,https://hackage.haskell.org/package/Chart-diagrams
chaselev-deque,https://hackage.haskell.org/package/chaselev-deque
cheapskate,https://hackage.haskell.org/package/cheapskate
cheapskate-highlight,https://hackage.haskell.org/package/cheapskate-highlight
cheapskate-lucid,https://hackage.haskell.org/package/cheapskate-lucid
check-email,https://hackage.haskell.org/package/check-email
checkers,https://hackage.haskell.org/package/checkers
checksum,https://hackage.haskell.org/package/checksum
chimera,https://hackage.haskell.org/package/chimera
chiphunk,https://hackage.haskell.org/package/chiphunk
choice,https://hackage.haskell.org/package/choice
chronologique,https://hackage.haskell.org/package/chronologique
chronos,https://hackage.haskell.org/package/chronos
chronos-bench,https://hackage.haskell.org/package/chronos-bench
chunked-data,https://hackage.haskell.org/package/chunked-data
cipher-aes,https://hackage.haskell.org/package/cipher-aes
cipher-aes128,https://hackage.haskell.org/package/cipher-aes128
cipher-blowfish,https://hackage.haskell.org/package/cipher-blowfish
cipher-camellia,https://hackage.haskell.org/package/cipher-camellia
cipher-des,https://hackage.haskell.org/package/cipher-des
cipher-rc4,https://hackage.haskell.org/package/cipher-rc4
circle-packing,https://hackage.haskell.org/package/circle-packing
cisco-spark-api,https://hackage.haskell.org/package/cisco-spark-api
classyplate,https://hackage.haskell.org/package/classyplate
classy-prelude,https://hackage.haskell.org/package/classy-prelude
classy-prelude-conduit,https://hackage.haskell.org/package/classy-prelude-conduit
classy-prelude-yesod,https://hackage.haskell.org/package/classy-prelude-yesod
clay,https://hackage.haskell.org/package/clay
clientsession,https://hackage.haskell.org/package/clientsession
Clipboard,https://hackage.haskell.org/package/Clipboard
clock,https://hackage.haskell.org/package/clock
clock-extras,https://hackage.haskell.org/package/clock-extras
closed,https://hackage.haskell.org/package/closed
clr-host,https://hackage.haskell.org/package/clr-host
clr-marshal,https://hackage.haskell.org/package/clr-marshal
clumpiness,https://hackage.haskell.org/package/clumpiness
cmark,https://hackage.haskell.org/package/cmark
cmark-gfm,https://hackage.haskell.org/package/cmark-gfm
cmdargs,https://hackage.haskell.org/package/cmdargs
codec,https://hackage.haskell.org/package/codec
codec-beam,https://hackage.haskell.org/package/codec-beam
codec-rpm,https://hackage.haskell.org/package/codec-rpm
code-page,https://hackage.haskell.org/package/code-page
codo-notation,https://hackage.haskell.org/package/codo-notation
coercible-utils,https://hackage.haskell.org/package/coercible-utils
co-log,https://hackage.haskell.org/package/co-log
co-log-core,https://hackage.haskell.org/package/co-log-core
colonnade,https://hackage.haskell.org/package/colonnade
colorful-monoids,https://hackage.haskell.org/package/colorful-monoids
colorize-haskell,https://hackage.haskell.org/package/colorize-haskell
colour,https://hackage.haskell.org/package/colour
columnar,https://hackage.haskell.org/package/columnar
combinatorial,https://hackage.haskell.org/package/combinatorial
comfort-array,https://hackage.haskell.org/package/comfort-array
comfort-graph,https://hackage.haskell.org/package/comfort-graph
commutative,https://hackage.haskell.org/package/commutative
comonad,https://hackage.haskell.org/package/comonad
compact,https://hackage.haskell.org/package/compact
compactmap,https://hackage.haskell.org/package/compactmap
compensated,https://hackage.haskell.org/package/compensated
compiler-warnings,https://hackage.haskell.org/package/compiler-warnings
composable-associations,https://hackage.haskell.org/package/composable-associations
composable-associations-aeson,https://hackage.haskell.org/package/composable-associations-aeson
composition,https://hackage.haskell.org/package/composition
composition-extra,https://hackage.haskell.org/package/composition-extra
concise,https://hackage.haskell.org/package/concise
concurrency,https://hackage.haskell.org/package/concurrency
concurrent-extra,https://hackage.haskell.org/package/concurrent-extra
concurrent-output,https://hackage.haskell.org/package/concurrent-output
concurrent-split,https://hackage.haskell.org/package/concurrent-split
concurrent-supply,https://hackage.haskell.org/package/concurrent-supply
cond,https://hackage.haskell.org/package/cond
conduit,https://hackage.haskell.org/package/conduit
conduit-algorithms,https://hackage.haskell.org/package/conduit-algorithms
conduit-combinators,https://hackage.haskell.org/package/conduit-combinators
conduit-concurrent-map,https://hackage.haskell.org/package/conduit-concurrent-map
conduit-extra,https://hackage.haskell.org/package/conduit-extra
conduit-iconv,https://hackage.haskell.org/package/conduit-iconv
conduit-parse,https://hackage.haskell.org/package/conduit-parse
conduit-throttle,https://hackage.haskell.org/package/conduit-throttle
conduit-zstd,https://hackage.haskell.org/package/conduit-zstd
config-ini,https://hackage.haskell.org/package/config-ini
configuration-tools,https://hackage.haskell.org/package/configuration-tools
configurator,https://hackage.haskell.org/package/configurator
configurator-export,https://hackage.haskell.org/package/configurator-export
configurator-pg,https://hackage.haskell.org/package/configurator-pg
connection,https://hackage.haskell.org/package/connection
connection-pool,https://hackage.haskell.org/package/connection-pool
console-style,https://hackage.haskell.org/package/console-style
constraint,https://hackage.haskell.org/package/constraint
constraints,https://hackage.haskell.org/package/constraints
containers,https://hackage.haskell.org/package/containers
contravariant,https://hackage.haskell.org/package/contravariant
contravariant-extras,https://hackage.haskell.org/package/contravariant-extras
control-bool,https://hackage.haskell.org/package/control-bool
control-dsl,https://hackage.haskell.org/package/control-dsl
control-monad-free,https://hackage.haskell.org/package/control-monad-free
control-monad-omega,https://hackage.haskell.org/package/control-monad-omega
convertible,http://hackage.haskell.org/package/convertible
cookie,https://hackage.haskell.org/package/cookie
core-data,https://hackage.haskell.org/package/core-data
core-text,https://hackage.haskell.org/package/core-text
countable,https://hackage.haskell.org/package/countable
country,https://hackage.haskell.org/package/country
courier,https://hackage.haskell.org/package/courier
cpio-conduit,https://hackage.haskell.org/package/cpio-conduit
cpphs,https://hackage.haskell.org/package/cpphs
cprng-aes,https://hackage.haskell.org/package/cprng-aes
cpu,https://hackage.haskell.org/package/cpu
cpuinfo,https://hackage.haskell.org/package/cpuinfo
cql,https://hackage.haskell.org/package/cql
cql-io,https://hackage.haskell.org/package/cql-io
crackNum,https://hackage.haskell.org/package/crackNum
crc32c,https://hackage.haskell.org/package/crc32c
credential-store,https://hackage.haskell.org/package/credential-store
criterion,https://hackage.haskell.org/package/criterion
criterion-measurement,https://hackage.haskell.org/package/criterion-measurement
cron,https://hackage.haskell.org/package/cron
crypto-api,https://hackage.haskell.org/package/crypto-api
crypto-api-tests,https://hackage.haskell.org/package/crypto-api-tests
cryptocipher,https://hackage.haskell.org/package/cryptocipher
crypto-cipher-tests,https://hackage.haskell.org/package/crypto-cipher-tests
crypto-cipher-types,https://hackage.haskell.org/package/crypto-cipher-types
cryptocompare,https://hackage.haskell.org/package/cryptocompare
crypto-enigma,https://hackage.haskell.org/package/crypto-enigma
cryptohash,https://hackage.haskell.org/package/cryptohash
cryptohash-cryptoapi,https://hackage.haskell.org/package/cryptohash-cryptoapi
cryptohash-md5,https://hackage.haskell.org/package/cryptohash-md5
cryptohash-sha1,https://hackage.haskell.org/package/cryptohash-sha1
cryptohash-sha256,https://hackage.haskell.org/package/cryptohash-sha256
cryptohash-sha512,https://hackage.haskell.org/package/cryptohash-sha512
cryptonite,https://hackage.haskell.org/package/cryptonite
cryptonite-conduit,https://hackage.haskell.org/package/cryptonite-conduit
cryptonite-openssl,https://hackage.haskell.org/package/cryptonite-openssl
crypto-numbers,https://hackage.haskell.org/package/crypto-numbers
crypto-pubkey,https://hackage.haskell.org/package/crypto-pubkey
crypto-pubkey-openssh,https://hackage.haskell.org/package/crypto-pubkey-openssh
crypto-pubkey-types,https://hackage.haskell.org/package/crypto-pubkey-types
crypto-random,https://hackage.haskell.org/package/crypto-random
crypto-random-api,https://hackage.haskell.org/package/crypto-random-api
crypt-sha512,https://hackage.haskell.org/package/crypt-sha512
csp,https://hackage.haskell.org/package/csp
css-syntax,https://hackage.haskell.org/package/css-syntax
css-text,https://hackage.haskell.org/package/css-text
csv,https://hackage.haskell.org/package/csv
ctrie,https://hackage.haskell.org/package/ctrie
cubicbezier,https://hackage.haskell.org/package/cubicbezier
cubicspline,https://hackage.haskell.org/package/cubicspline
cublas,https://hackage.haskell.org/package/cublas
cuckoo-filter,https://hackage.haskell.org/package/cuckoo-filter
cuda,https://hackage.haskell.org/package/cuda
cue-sheet,https://hackage.haskell.org/package/cue-sheet
cufft,https://hackage.haskell.org/package/cufft
curl,https://hackage.haskell.org/package/curl
currencies,https://hackage.haskell.org/package/currencies
currency,https://hackage.haskell.org/package/currency
cusparse,https://hackage.haskell.org/package/cusparse
cutter,https://hackage.haskell.org/package/cutter
cyclotomic,https://hackage.haskell.org/package/cyclotomic
czipwith,https://hackage.haskell.org/package/czipwith
data-accessor,https://hackage.haskell.org/package/data-accessor
data-accessor-mtl,https://hackage.haskell.org/package/data-accessor-mtl
data-accessor-template,https://hackage.haskell.org/package/data-accessor-template
data-accessor-transformers,https://hackage.haskell.org/package/data-accessor-transformers
data-binary-ieee754,https://hackage.haskell.org/package/data-binary-ieee754
data-bword,https://hackage.haskell.org/package/data-bword
data-checked,https://hackage.haskell.org/package/data-checked
data-clist,https://hackage.haskell.org/package/data-clist
data-default,https://hackage.haskell.org/package/data-default
data-default-class,https://hackage.haskell.org/package/data-default-class
data-default-instances-containers,https://hackage.haskell.org/package/data-default-instances-containers
data-default-instances-dlist,https://hackage.haskell.org/package/data-default-instances-dlist
data-default-instances-old-locale,https://hackage.haskell.org/package/data-default-instances-old-locale
data-diverse,https://hackage.haskell.org/package/data-diverse
data-diverse-lens,https://hackage.haskell.org/package/data-diverse-lens
datadog,https://hackage.haskell.org/package/datadog
data-dword,https://hackage.haskell.org/package/data-dword
data-endian,https://hackage.haskell.org/package/data-endian
data-fix,https://hackage.haskell.org/package/data-fix
data-has,https://hackage.haskell.org/package/data-has
data-inttrie,https://hackage.haskell.org/package/data-inttrie
data-lens-light,https://hackage.haskell.org/package/data-lens-light
data-memocombinators,https://hackage.haskell.org/package/data-memocombinators
data-msgpack,https://hackage.haskell.org/package/data-msgpack
data-msgpack-types,https://hackage.haskell.org/package/data-msgpack-types
data-or,https://hackage.haskell.org/package/data-or
data-ordlist,https://hackage.haskell.org/package/data-ordlist
data-ref,https://hackage.haskell.org/package/data-ref
data-reify,https://hackage.haskell.org/package/data-reify
data-serializer,https://hackage.haskell.org/package/data-serializer
datasets,https://hackage.haskell.org/package/datasets
data-textual,https://hackage.haskell.org/package/data-textual
data-tree-print,https://hackage.haskell.org/package/data-tree-print
dataurl,https://hackage.haskell.org/package/dataurl
DAV,https://hackage.haskell.org/package/DAV
dbcleaner,https://hackage.haskell.org/package/dbcleaner
DBFunctor,https://hackage.haskell.org/package/DBFunctor
dbus,https://hackage.haskell.org/package/dbus
debian-build,https://hackage.haskell.org/package/debian-build
debug,https://hackage.haskell.org/package/debug
debug-trace-var,https://hackage.haskell.org/package/debug-trace-var
dec,https://hackage.haskell.org/package/dec
decidable,https://hackage.haskell.org/package/decidable
Decimal,https://hackage.haskell.org/package/Decimal
declarative,https://hackage.haskell.org/package/declarative
deepseq,https://hackage.haskell.org/package/deepseq
deepseq-generics,https://hackage.haskell.org/package/deepseq-generics
deferred-folds,https://hackage.haskell.org/package/deferred-folds
dejafu,https://hackage.haskell.org/package/dejafu
dense-linear-algebra,https://hackage.haskell.org/package/dense-linear-algebra
dependent-map,https://hackage.haskell.org/package/dependent-map
dependent-sum,https://hackage.haskell.org/package/dependent-sum
dependent-sum-template,https://hackage.haskell.org/package/dependent-sum-template
deque,https://hackage.haskell.org/package/deque
deriveJsonNoPrefix,https://hackage.haskell.org/package/deriveJsonNoPrefix
deriving-compat,https://hackage.haskell.org/package/deriving-compat
derulo,https://hackage.haskell.org/package/derulo
detour-via-sci,https://hackage.haskell.org/package/detour-via-sci
dhall,https://hackage.haskell.org/package/dhall
dhall-bash,https://hackage.haskell.org/package/dhall-bash
dhall-json,https://hackage.haskell.org/package/dhall-json
diagrams,https://hackage.haskell.org/package/diagrams
diagrams-contrib,https://hackage.haskell.org/package/diagrams-contrib
diagrams-core,https://hackage.haskell.org/package/diagrams-core
diagrams-lib,https://hackage.haskell.org/package/diagrams-lib
diagrams-postscript,https://hackage.haskell.org/package/diagrams-postscript
diagrams-rasterific,https://hackage.haskell.org/package/diagrams-rasterific
diagrams-solve,https://hackage.haskell.org/package/diagrams-solve
diagrams-svg,https://hackage.haskell.org/package/diagrams-svg
di-core,https://hackage.haskell.org/package/di-core
dictionary-sharing,https://hackage.haskell.org/package/dictionary-sharing
Diff,https://hackage.haskell.org/package/Diff
digest,https://hackage.haskell.org/package/digest
digits,https://hackage.haskell.org/package/digits
dimensional,https://hackage.haskell.org/package/dimensional
di-monad,https://hackage.haskell.org/package/di-monad
directory,https://hackage.haskell.org/package/directory
directory-tree,https://hackage.haskell.org/package/directory-tree
direct-sqlite,https://hackage.haskell.org/package/direct-sqlite
discount,https://hackage.haskell.org/package/discount
disk-free-space,https://hackage.haskell.org/package/disk-free-space
distributed-closure,https://hackage.haskell.org/package/distributed-closure
distribution-nixpkgs,https://hackage.haskell.org/package/distribution-nixpkgs
distribution-opensuse,https://hackage.haskell.org/package/distribution-opensuse
distributive,https://hackage.haskell.org/package/distributive
dl-fedora,https://hackage.haskell.org/package/dl-fedora
dlist,https://hackage.haskell.org/package/dlist
dlist-instances,https://hackage.haskell.org/package/dlist-instances
dlist-nonempty,https://hackage.haskell.org/package/dlist-nonempty
dns,https://hackage.haskell.org/package/dns
dockerfile,https://hackage.haskell.org/package/dockerfile
docopt,https://hackage.haskell.org/package/docopt
doctemplates,https://hackage.haskell.org/package/doctemplates
doctest,https://hackage.haskell.org/package/doctest
doctest-discover,https://hackage.haskell.org/package/doctest-discover
doctest-driver-gen,https://hackage.haskell.org/package/doctest-driver-gen
doldol,https://hackage.haskell.org/package/doldol
do-list,https://hackage.haskell.org/package/do-list
dom-parser,https://hackage.haskell.org/package/dom-parser
do-notation,https://hackage.haskell.org/package/do-notation
dotenv,https://hackage.haskell.org/package/dotenv
dotgen,https://hackage.haskell.org/package/dotgen
dotnet-timespan,https://hackage.haskell.org/package/dotnet-timespan
double-conversion,https://hackage.haskell.org/package/double-conversion
download,https://hackage.haskell.org/package/download
drinkery,https://hackage.haskell.org/package/drinkery
dsp,https://hackage.haskell.org/package/dsp
dual,https://hackage.haskell.org/package/dual
dual-tree,https://hackage.haskell.org/package/dual-tree
dublincore-xml-conduit,https://hackage.haskell.org/package/dublincore-xml-conduit
